target 160  assertion floor 136  after massacre 77
tick   peds  crowdScale  scaledTarget  passes(>=floor)
  300    95       1.000           160  NO
  600   112       0.999           160  NO
  900   128       0.998           160  NO
 1200   138       0.997           159  yes
 1500   154       0.995           159  yes
 1800   159       0.992           159  yes
 2100   158       0.990           158  yes
 2400   157       0.986           158  yes
 2700   157       0.983           157  yes
 3000   157       0.979           157  yes
 3300   156       0.975           156  yes
 3600   155       0.970           155  yes
 3900   155       0.965           154  yes
 4200   154       0.959           153  yes
 4500   153       0.953           153  yes
 4800   152       0.947           152  yes
 5100   151       0.941           151  yes
 5400   150       0.934           149  yes
 5700   149       0.927           148  yes
 6000   148       0.920           147  yes
 6300   146       0.912           146  yes
 6600   145       0.904           145  yes
 6900   144       0.896           143  yes
 7200   143       0.887           142  yes
 7500   141       0.879           141  yes
 7800   139       0.870           139  yes
 8100   138       0.861           138  yes
 8400   137       0.852           136  yes
 8700   135       0.843           135  NO
 9000   134       0.833           133  NO
 9300   133       0.824           132  NO
 9600   133       0.814           130  NO
 9900   131       0.804           129  NO
10200   130       0.794           127  NO
10500   126       0.785           126  NO
10800   125       0.775           124  NO
11100   123       0.765           122  NO
11400   123       0.755           121  NO
11700   120       0.745           119  NO
12000   120       0.736           118  NO
12300   118       0.726           116  NO
12600   118       0.717           115  NO
12900   117       0.707           113  NO
13200   115       0.698           112  NO
13500   114       0.689           110  NO
13800   111       0.680           109  NO
14100   110       0.671           107  NO
14400   108       0.662           106  NO
first tick at/after which the existing assertion fails: ~300
