# blockless rural country regions: land wood wild wildBare | nbLand nbWood | fires?
65,566-164,678       Gannet Rock    land= 3522 wood=  608 wild=  900 wildBare=  661 | nbLand= 5515 nbWood= 2726 | sized cmp bald FIRES
399,735-428,757      Marsh End      land=  580 wood=    0 wild=  409 wildBare=  409 | nbLand=    0 nbWood=    0 | ----- --- ---- .....
322,740-355,756      Marsh End      land=  507 wood=    0 wild=    0 wildBare=    0 | nbLand=  307 nbWood=  156 | sized cmp bald .....
463,740-494,757      Marsh End      land=  451 wood=    0 wild=  203 wildBare=  203 | nbLand=  272 nbWood=  163 | sized cmp bald FIRES
298,688-345,698      Marsh End      land=  337 wood=    0 wild=  135 wildBare=  135 | nbLand=    0 nbWood=    0 | ----- --- ---- .....
502,644-547,673      Marsh End      land=  217 wood=    0 wild=   73 wildBare=   73 | nbLand= 1400 nbWood=  702 | sized cmp bald FIRES
549,656-573,669      Marsh End      land=  210 wood=    0 wild=    0 wildBare=    0 | nbLand=  336 nbWood=   53 | sized --- ---- .....
631,647-664,655      Marsh End      land=  187 wood=    0 wild=   48 wildBare=   48 | nbLand=    0 nbWood=    0 | ----- --- ---- .....
671,636-695,662      Marsh End      land=  183 wood=    0 wild=   40 wildBare=   40 | nbLand=    0 nbWood=    0 | ----- --- ---- .....
328,724-352,729      Marsh End      land=  110 wood=    0 wild=  110 wildBare=  110 | nbLand=  307 nbWood=  156 | ----- cmp bald .....
416,656-482,659      Marsh End      land=   99 wood=    0 wild=   16 wildBare=   16 | nbLand= 2095 nbWood=  844 | ----- cmp bald .....
503,618-543,629      Marsh End      land=   94 wood=    0 wild=   80 wildBare=   80 | nbLand= 1941 nbWood=  611 | ----- cmp bald .....
578,613-588,642      Marsh End      land=   88 wood=    0 wild=   23 wildBare=   23 | nbLand= 1371 nbWood=  563 | ----- cmp bald .....
468,725-487,729      Marsh End      land=   76 wood=    0 wild=   20 wildBare=   20 | nbLand=  272 nbWood=  163 | ----- cmp bald .....
416,620-451,621      Marsh End      land=   72 wood=    0 wild=    2 wildBare=    2 | nbLand= 3384 nbWood= 1549 | ----- cmp bald .....
169,614-172,637      Sunridge Shore land=   65 wood=   65 wild=   51 wildBare=    0 | nbLand= 2977 nbWood= 1564 | ----- cmp ---- .....
658,657-668,664      Marsh End      land=   53 wood=    0 wild=   39 wildBare=   39 | nbLand=    0 nbWood=    0 | ----- --- ---- .....
249,621-260,626      Sunridge Shore land=   51 wood=    0 wild=   51 wildBare=   51 | nbLand=    0 nbWood=    0 | ----- --- ---- .....
452,625-453,651      Marsh End      land=   50 wood=    0 wild=   37 wildBare=   37 | nbLand= 2161 nbWood= 1061 | ----- cmp bald .....
496,657-499,677      Marsh End      land=   43 wood=    0 wild=   35 wildBare=   35 | nbLand= 1694 nbWood=  988 | ----- cmp bald .....
591,619-604,621      Marsh End      land=   42 wood=    0 wild=   42 wildBare=   42 | nbLand=  754 nbWood=  387 | ----- cmp bald .....
258,660-265,669      Sunridge Shore land=   40 wood=    0 wild=    0 wildBare=    0 | nbLand=  504 nbWood=  313 | ----- cmp bald .....
452,664-453,683      Marsh End      land=   40 wood=    0 wild=   16 wildBare=   16 | nbLand= 1306 nbWood=  470 | ----- cmp bald .....
