# blockless rural country regions: land wood wild wildBare | nbLand nbWood | fires?
65,566-164,678       Gannet Rock    land= 3522 wood= 1232 wild=  900 wildBare=   37 | nbLand= 5515 nbWood= 2880 | sized cmp ---- .....
399,735-428,757      Marsh End      land=  580 wood=  409 wild=  409 wildBare=    0 | nbLand=    0 nbWood=    0 | ----- --- ---- .....
322,740-355,756      Marsh End      land=  507 wood=    0 wild=    0 wildBare=    0 | nbLand=  307 nbWood=  156 | sized cmp bald .....
463,740-494,757      Marsh End      land=  451 wood=  203 wild=  203 wildBare=    0 | nbLand=  272 nbWood=  163 | sized cmp ---- .....
298,688-345,698      Marsh End      land=  337 wood=  130 wild=  135 wildBare=    5 | nbLand=    0 nbWood=    0 | ----- --- ---- .....
502,644-547,673      Marsh End      land=  217 wood=   86 wild=   73 wildBare=    6 | nbLand= 1400 nbWood=  702 | sized cmp ---- .....
549,656-573,669      Marsh End      land=  210 wood=   14 wild=    0 wildBare=    0 | nbLand=  336 nbWood=   53 | sized --- ---- .....
631,647-664,655      Marsh End      land=  187 wood=   52 wild=   48 wildBare=   12 | nbLand=    0 nbWood=    0 | ----- --- ---- .....
671,636-695,662      Marsh End      land=  183 wood=   47 wild=   40 wildBare=    0 | nbLand=    0 nbWood=    0 | ----- --- ---- .....
328,724-352,729      Marsh End      land=  110 wood=  110 wild=  110 wildBare=    0 | nbLand=  307 nbWood=  156 | ----- cmp ---- .....
416,656-482,659      Marsh End      land=   99 wood=    1 wild=   16 wildBare=   16 | nbLand= 2095 nbWood=  844 | ----- cmp bald .....
503,618-543,629      Marsh End      land=   94 wood=   68 wild=   80 wildBare=   13 | nbLand= 1941 nbWood=  612 | ----- cmp ---- .....
578,613-588,642      Marsh End      land=   88 wood=   11 wild=   23 wildBare=   18 | nbLand= 1371 nbWood=  563 | ----- cmp bald .....
468,725-487,729      Marsh End      land=   76 wood=   20 wild=   20 wildBare=    0 | nbLand=  272 nbWood=  163 | ----- cmp ---- .....
416,620-451,621      Marsh End      land=   72 wood=   29 wild=    2 wildBare=    2 | nbLand= 3425 nbWood= 1557 | ----- cmp ---- .....
169,614-172,637      Sunridge Shore land=   65 wood=   65 wild=   51 wildBare=    0 | nbLand= 2977 nbWood= 1712 | ----- cmp ---- .....
658,657-668,664      Marsh End      land=   53 wood=   35 wild=   39 wildBare=    9 | nbLand=    0 nbWood=    0 | ----- --- ---- .....
249,621-260,626      Sunridge Shore land=   51 wood=   24 wild=   51 wildBare=   27 | nbLand=    0 nbWood=    0 | ----- --- ---- .....
452,625-453,651      Marsh End      land=   50 wood=   27 wild=   37 wildBare=   10 | nbLand= 2161 nbWood= 1069 | ----- cmp ---- .....
496,657-499,677      Marsh End      land=   43 wood=   35 wild=   35 wildBare=    4 | nbLand= 1694 nbWood=  988 | ----- cmp ---- .....
591,619-604,621      Marsh End      land=   42 wood=   26 wild=   42 wildBare=   16 | nbLand=  754 nbWood=  387 | ----- cmp ---- .....
258,660-265,669      Sunridge Shore land=   40 wood=    2 wild=    0 wildBare=    0 | nbLand=  504 nbWood=  313 | ----- cmp bald .....
452,664-453,683      Marsh End      land=   40 wood=   22 wild=   16 wildBare=    4 | nbLand= 1306 nbWood=  470 | ----- cmp ---- .....
