pitch=10 viewHeight=360 viewWidth=630 aspect=1.750
  frac x  frac y |  3D lands at   |  HUD draws at  |  error (world px)
   0.05    0.05  |   44.4   27.7 |   31.5     18 |   12.9    9.7
   0.50    0.05  |    315   27.7 |    315     18 |      0    9.7
   0.95    0.05  |  585.6   27.7 |  598.5     18 |  -12.9    9.7
   0.05    0.25  |   38.8   93.7 |   31.5     90 |    7.3    3.7
   0.50    0.25  |    315   93.7 |    315     90 |      0    3.7
   0.95    0.25  |  591.2   93.7 |  598.5     90 |   -7.3    3.7
   0.05    0.50  |   31.5    180 |   31.5    180 |      0      0
   0.50    0.50  |    315    180 |    315    180 |      0      0
   0.95    0.50  |  598.5    180 |  598.5    180 |      0      0
   0.05    0.75  |   23.8    271 |   31.5    270 |   -7.7      1
   0.50    0.75  |    315    271 |    315    270 |      0      1
   0.95    0.75  |  606.2    271 |  598.5    270 |    7.7      1
   0.05    0.95  |   17.3  347.5 |   31.5    342 |  -14.2    5.5
   0.50    0.95  |    315  347.5 |    315    342 |      0    5.5
   0.95    0.95  |  612.7  347.5 |  598.5    342 |   14.2    5.5
