mode before the run-up: driving
wheel over at sample 26 (2600 ms)
ms	px/s	decals	wheel
117	18	29	
220	33	30	
339	50	30	
451	91	30	
553	89	31	
660	104	31	
769	121	31	
880	90	31	
1029	202	32	
1141	358	33	
1252	273	33	
1354	29	33	
1466	47	34	
1570	22	38	
1682	5	42	
1786	14	46	
1898	30	47	
2001	46	47	
2105	61	48	
2215	105	48	
2319	96	49	
2436	112	49	
2548	173	49	
2667	147	49	
2772	164	50	
2881	179	54	
2985	258	58	D
3105	316	62	D
3251	195	67	D
3354	166	69	D
3465	29	69	D
3571	23	69	D
3682	4	70	D
3786	10	70	D
3898	24	70	D
4002	36	70	D
4115	8	71	D
4219	6	71	D
4332	4	71	D
4435	4	71	D
4540	4	72	D
4646	5	72	D
4750	4	72	D
4852	0	72	D
4955	0	73	D
5068	0	73	D
5171	0	73	D
5282	0	73	D
5386	0	74	D
