pitch=10 viewHeight=270 viewWidth=473 aspect=1.750
  frac x  frac y |  3D lands at   |  HUD draws at  |  error (world px)
   0.05    0.05  |   33.3   20.8 |   23.6   13.5 |    9.7    7.3
   0.50    0.05  |  236.3   20.8 |  236.3   13.5 |      0    7.3
   0.95    0.05  |  439.2   20.8 |  448.9   13.5 |   -9.7    7.3
   0.05    0.25  |   29.1   70.2 |   23.6   67.5 |    5.5    2.7
   0.50    0.25  |  236.3   70.2 |  236.3   67.5 |      0    2.7
   0.95    0.25  |  443.4   70.2 |  448.9   67.5 |   -5.5    2.7
   0.05    0.50  |   23.6    135 |   23.6    135 |      0      0
   0.50    0.50  |  236.3    135 |  236.3    135 |      0      0
   0.95    0.50  |  448.9    135 |  448.9    135 |      0      0
   0.05    0.75  |   17.8  203.3 |   23.6  202.5 |   -5.8    0.8
   0.50    0.75  |  236.3  203.3 |  236.3  202.5 |      0    0.8
   0.95    0.75  |  454.7  203.3 |  448.9  202.5 |    5.8    0.8
   0.05    0.95  |     13  260.7 |   23.6  256.5 |  -10.7    4.2
   0.50    0.95  |  236.3  260.7 |  236.3  256.5 |      0    4.2
   0.95    0.95  |  459.5  260.7 |  448.9  256.5 |   10.7    4.2
